Ticker,First_Qualified_Date,First_Qualified_Price,First_Inflection_Date,First_Inflection_Price,Peak_Price,Peak_Date,Peak_Return_Pct,Current_Return_From_Base_Pct,Drawdown_From_Peak_Pct,Historical_Status
ACUTAAS,2026-09-19,3440.3,,,3440.3,2026-09-19,0.0,-0.55,-0.55,QUALIFIED_NOT_CONFIRMED
AEGISLOG,2026-09-19,1415.4,,,1479.9,2026-09-21,4.56,4.56,0.0,QUALIFIED_NOT_CONFIRMED
ANANDRATHI,2026-09-19,2229.4,,,2229.4,2026-09-19,0.0,-0.95,-0.95,QUALIFIED_NOT_CONFIRMED
ANANTRAJ,2026-09-19,606.15,,,606.15,2026-09-19,0.0,-1.8,-1.8,QUALIFIED_NOT_CONFIRMED
APARINDS,2026-09-19,18858.0,,,18969.0,2026-09-21,0.59,0.59,0.0,QUALIFIED_NOT_CONFIRMED
BHARTIARTL,2026-09-19,1893.3,,,1893.3,2026-09-19,0.0,-3.27,-3.27,QUALIFIED_NOT_CONFIRMED
CGPOWER,2026-09-19,892.0,,,908.5,2026-09-21,1.85,1.85,0.0,QUALIFIED_NOT_CONFIRMED
CGCL,2026-09-19,270.65,,,270.65,2026-09-19,0.0,-0.85,-0.85,QUALIFIED_NOT_CONFIRMED
COROMANDEL,2026-09-19,1999.5,,,1999.5,2026-09-19,0.0,-2.93,-2.93,QUALIFIED_NOT_CONFIRMED
ETERNAL,2026-09-19,326.85,,,335.4,2026-09-21,2.62,2.62,0.0,QUALIFIED_NOT_CONFIRMED
FSL,2026-09-19,273.45,,,273.45,2026-09-19,0.0,-1.48,-1.48,QUALIFIED_NOT_CONFIRMED
GMRAIRPORT,2026-09-19,99.3,,,99.3,2026-09-19,0.0,-1.01,-1.01,QUALIFIED_NOT_CONFIRMED
GLENMARK,2026-09-19,2447.4,,,2458.0,2026-09-21,0.43,0.43,0.0,QUALIFIED_NOT_CONFIRMED
HBLENGINE,2026-09-19,760.0,,,760.0,2026-09-19,0.0,-1.21,-1.21,QUALIFIED_NOT_CONFIRMED
POWERINDIA,2026-09-19,32700.0,,,32700.0,2026-09-19,0.0,-2.6,-2.6,QUALIFIED_NOT_CONFIRMED
HOMEFIRST,2026-09-19,1241.3,,,1260.0,2026-09-21,1.51,1.51,0.0,QUALIFIED_NOT_CONFIRMED
INDGN,2026-09-19,600.1,,,600.1,2026-09-19,0.0,-0.52,-0.52,QUALIFIED_NOT_CONFIRMED
INOXWIND,2026-09-19,76.8,,,77.65,2026-09-21,1.11,1.11,0.0,QUALIFIED_NOT_CONFIRMED
KPIL,2026-09-19,1445.5,,,1445.5,2026-09-19,0.0,-0.39,-0.39,QUALIFIED_NOT_CONFIRMED
